ID,KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,KIR2DL5B,KIR2DP1,KIR2DS1,KIR2DS2,KIR2DS3,KIR2DS4,KIR2DS5,KIR3DL1,KIR3DL2,KIR3DL3,KIR3DP1,KIR3DS1
HG00438.bam,`0030204;`0030205,,`0010101;`0010112,`0010201;`0010201,,,`0020109;`0020106,,,,`0010102;`0010102,,`0150218;`0150218,`0020105;`0020105,`01001;`01002,`0030202;`0030212,
HG00621.bam,`0030205;`0030204,,`0010108;`0010112,`0010201;`0010201,,,`0020106;`0020109,,,,`0010107;`0010107,,`0150203;`0150203,`0020105;`0020105,`01002;`01502,`0030202;`0030202,
HG00673.bam,`0030205;`0030232,,`0010108;`0010112,`0060201;`00504,`0010103,,`0020106;`0020109,`0020103,,,`0040101,`0020111,`0070101,`00801;`093,`00902;`01001,`0030202;`0030202,`0130101
HG00733.bam,`00303;`0040109,`0010102,`006,`0080101;`0010201;`0050107,,`0020107,`007;`0010201,,`0010124,`0010301,`0030101;`0010101,,`0010103;`0020103,`0010102;`0020101,`055;`0140205,`0100102;`004;`0030101,`0130101
HG00735.bam,`0030212,`0010107,`0010112,`0110101;`0080204,,,`0020109,,`0010102,,`010;`0060101,,`0050101;`0040102,`0010302;`00302,`0090106;`0040202,`0030207;`0030101,
HG00741.bam,`0020114,,`0020103;`0010110,`0080204,,,`0030102;`0020109,`0020103,,,`0060102,,`0040101,`00501,`01302;`0010101,`0060103,
HG01071.bam,`0030204;`0030212,,`0010110;`0010112,`0010304;`0080204,,,`0020109;`0020109,,,,`0010106;`0060102,,`0200103;`0040101,`00902;`00501,`00602;`0020602,`0030202;`0030207,
HG01106.bam,`0030205;`0030208,,`0010108;`0010106,`0010201;`0010202,,,`0020106;`008,,,,`0010102;`0010101,,`0150218;`0150201,`0020105;`0020104,`00802;`0020602,`0030202;`0030202,
HG01109.bam,`00303;`0030220,,`00501;`0010101,`01201;`0010304,,,`010;`0020109,,,,`0030101;`0010106,,`022;`0150101,`0010302;`01301,`035;`0090101,`0030209;`0100102,
HG01175.bam,`0030225,`0030101,`0010112,`0010305;`0050101,`0050101,,`0020109,`0020104,`0010108,`0020103,`0030104,,`0080101,`00901;`0070102,`0020702;`0070103,`0030202;`0090102,`0130101
HG01243.bam,,`0010105;`0030101,,,,`0080101;`00601,,`0020103;`0020103,`0010111;`0010123,,,`0020111;`0020111,,`058;`01901,`0140206;`050,,
HG01258.bam,`0020105,`0030106,`0020103,`0050101;`0050101,`0010101;`0010103,,`0030102,`0020103;`0020103,`0010108,,,`0020111;`0020104,,`0070102;`018,`00602;`01403,`0150101;`0090101,`0130101;`0130101
HG01358.bam,`0030204,`0010107,`0010112,`0010201,,`0080101,`0020109,`0020103,`0010102,,`0010102,`0020111,`0150218,`0070102;`0020105,`02801;`0090101,`0030202,
HG01361.bam,`0030204,`0030106,`0010110,`0050101;`0080101,`0010103,,`0020109,`0020103,`0010108,,`0030101,`0020104,`0010109,`018;`0010101,`01403;`04801,`0090101;`0030206,`0130101
HG01891.bam,`0040102;`0030204,`0010107,`0010101,`017;`0010306,,`00601,`010;`0020109,,`0010111,,`0010106;`0010102,`0070101,`0310101;`0150202,`0010302;`0010302,`0040202;`01101,`0030402;`0030202,
HG01928.bam,`0030205;`0030205,,`0010112;`0010112,`0010201;`0010201,,,`0020106;`0020106,,,,`0010102;`0010102,,`0150218;`0250103,`0020105;`071,`00902;`00902,`0030212;`0030212,
HG01952.bam,`0030205;`0040101,`0010102,`0010108,`0010201;`0080204,,`0020109,`0020106;`0010201,,`0010102,`0010310,`0010102;`0060102,,`0290101;`0040101,`0020106;`00501,`01002;`0030112,`0030202;`0030101,
HG01978.bam,`0030205;`0030205,,`0010102;`0010108,`0010201;`0010201,,,`0020106;`0020106,,,,`0010102;`0010102,,`0290101;`0150218,`0020106;`0020105,`00902;`00802,`0030212;`0030202,
HG02055.bam,`00303;`0030211,,`00501;`00501,`022;`0010306,,,`010;`006,,,,`0010106;`0060101,,`0310101;`0150211,`0010302;`0010302,`035;`0410103,`0030209;`0030216,
HG02080.bam,`0030207;`0030205,,`0010112;`0010108,`0010201;`0010201,,,`0020109;`0020106,,,,`0010102;`0010102,,`0290101;`0150203,`0020105;`0020105,`01001;`01002,`0030202;`0030202,
HG02145.bam,`0040101;`0030204,,`010;`0010101,`0010304;`0010304,,`0020106,`0010201;`0020109,,,`0010301,`0010106;`0010106,,`0200102;`030,`00902;`01301,`04901;`0090101,`0030101;`0100102,
HG02148.bam,`0030205;`0030205,,`0010108;`0010112,`0010201;`0110101,,,`0020106;`0020106,,,,`0010102;`010,,`0150218;`0050103,`0020105;`01001,`00802;`00902,`0030202;`0030212,
HG02257.bam,`007;`0040101,`0010107;`0030103,,`0080204;`0110101,,`0020107;`0020104,`0010203;`0010201,,`0010102,`0010302;`0010301,`0060101;`010,,`0040102;`0050103,`00302;`01001,`0140205;`01406,`0090102;`0030203,
HG02572.bam,`0020105;`0010103,,`0010112;`006,`022;`0080101,,,`0030102;`007,,,,`0010106;`0030101,,`0310102;`0010107,`0010302;`0010102,`00205;`055,`0150101;`0100102,
HG02622.bam,`0030225;`00303,,`0010107;`00501,`0010306;`0110101;`0050101,,,`0020109;`0030102,,,,`0010104;`010,,`0150212;`0050103,`0010302;`086,`00205;`02702,`0030202;`0090102;`0100102,`0130101
HG02630.bam,`0030211;`0030211,,`00501;`00501,`01201;`0050101;`0050101,`0010104,,`006;`006,`0020103,,,`0010106;`0010106,`0020111,`03501,`105;`0070102,`035;`02703,`0030216;`011;`0030216,`0130127;`0130127
HG02717.bam,`00303;`0030204,,`00501;`0010101,`0110101;`0050101;`0010304,,,`0030102;`0020109,,,,`010;`0010106,,`0050103;`0150102,`086;`040,`02702;`01102,`0090102;`0100102;`0030202,`0130101
HG02723.bam,`0030236,`0010102,,`0080204;`0010306,,,`0020106,,`0010102,,`0060101;`0010105,,`0040102;`0150202,`0010102;`0020102,`0030112;`01101,`001;`0280101,
HG02818.bam,`00303;`0030204,,`00501;`0010101,`0080101;`0010304,,,`010;`0020109,,,,`0030101;`0010106,,`0010103;`0150101,`0010102;`01301,`04901;`0020204,`0030209;`0100101,
HG02886.bam,`0020105;`00303,,`0010112;`00501,`022;`0050101,`0010103,,`0030102;`010,`0020103,,,`0010106,`0020111,`0310102,`0010302;`00601,`00205;`035,`0150101;`0030209,`0130101
HG03098.bam,`0030204,`0030108,`0010101,`0010304,,`00601,`0020109,`0020103,`0010123,,`0010106,`0020111,`0150102,`040;`01901,`055;`050,`0100102,
HG03453.bam,`0040102;`0030209,`0030103,`0010107,`0010304;`0010305,,`00601,`010;`0020109,,,,`0010106;`0010106,`0070102,`0150101;`0310101,`01301;`0010302,`01406;`0090101,`0030402;`0030202,
HG03486.bam,`0030204;`00303,,`0010102;`00501,`0010304;`022,,,`0020109;`010,,,,`0010106;`0010106,,`0150101;`0310101,`01001;`0010302,`01502;`035,`0100102;`0030209,
HG03492.bam,`0030225;`0020112,,`0010112;`0020103,`0010305;`0110101,,,`0020109;`0030102,,,,`0030104;`010,,`0080101;`0050101,`00901;`0010302,`0020202;`00602,`0030202;`005,
HG03516.bam,`0040109;`0030205,`0010105,`0010107,`0010303;`0080101,,`0020107,`0010201;`0020109,,`0010111,`0010301,`0010104;`0030101,,`0250103;`0010103,`0020102;`0010102,`0140203;`055,`0030101;`0030202,
HG03540.bam,`0030204;`00303,,`0010101;`006,`0080203;`0010307,,,`0020109;`007,,,,`0010108,,`05901;`01701,`01001,`01502;`055,`017;`0100102,
HG03579.bam,`0040101;`00303,`0010107,`00501,`0010307;`01202,,`017,`0010201;`010,,`0010102,`0010301,`0010108;`0030101,,`01701;`022,`01001;`0010102,`032;`0410103,`0030101;`0030209,
NA18906.bam,`0030212;`0040102,,`0010107;`0020103,`022;`0010304,,,`0020109;`0030102,,,,`0010106;`0010106,,`0310101;`0150101,`0010302;`095,`0090101;`01102,`0030202;`0030402,
NA19240.bam,`00303,`0030103,`006,`01201,,`003,`007,`0020103,`0010130,,`0010106,`00502,`03501,`00601;`105,`022;`055,`0100102,
NA20129.bam,`00303,`0030105,`006,`0050101;`0080204,`0010104,,`007,`0020103,`0010108,,`0060101,`0020111,`0040102,`0070102;`00301,`0040201;`055,`007;`0100102,`0130101
